Time Period,GDP Growth
01-01-1960,15.35281272
01-02-1960,6.586279413
01-03-1960,-3.646958069
01-04-1960,-4.431882388
01-05-1960,-3.608594257
01-06-1960,1.720467489
01-07-1960,5.647325624
01-08-1960,2.551156384
01-09-1960,-4.219471658
01-10-1960,-7.756522475
01-11-1960,-7.532071773
01-12-1960,-2.262678573
01-01-1961,5.81380786
01-02-1961,6.109886067
01-03-1961,6.58931679
01-04-1961,6.27732409
01-05-1961,7.063706279
01-06-1961,8.343589291
01-07-1961,7.699242911
01-08-1961,8.226437868
01-09-1961,5.245247944
01-10-1961,8.346670052
01-11-1961,8.986647117
01-12-1961,8.169135637
01-01-1962,5.711962912
01-02-1962,8.398401659
01-03-1962,4.332575086
01-04-1962,2.19550441
01-05-1962,2.4095702
01-06-1962,3.95399588
01-07-1962,7.202177372
01-08-1962,4.829492541
01-09-1962,2.48042551
01-10-1962,-1.18214725
01-11-1962,1.30944288
01-12-1962,2.934055318
01-01-1963,5.415316823
01-02-1963,6.505737688
01-03-1963,2.703419536
01-04-1963,2.762181662
01-05-1963,5.193402949
01-06-1963,9.594805411
01-07-1963,11.62184994
01-08-1963,8.071246876
01-09-1963,2.933851062
01-10-1963,-0.022271991
01-11-1963,1.023701312
01-12-1963,7.533896985
01-01-1964,11.64917135
01-02-1964,10.12536908
01-03-1964,3.917307307
01-04-1964,2.569719126
01-05-1964,3.497814903
01-06-1964,6.29571135
01-07-1964,9.788134951
01-08-1964,5.164937298
01-09-1964,0.013007221
01-10-1964,-4.579656226
01-11-1964,4.738294886
01-12-1964,10.16151342
01-01-1965,11.44723117
01-02-1965,9.887845724
01-03-1965,6.930419937
01-04-1965,2.016475324
01-05-1965,3.999528018
01-06-1965,7.391538672
01-07-1965,11.31653489
01-08-1965,9.315112909
01-09-1965,7.79351935
01-10-1965,8.91065988
01-11-1965,9.444770524
01-12-1965,11.53003909
01-01-1966,10.91153443
01-02-1966,8.358823182
01-03-1966,4.588122236
01-04-1966,-1.683899968
01-05-1966,-1.458936082
01-06-1966,2.66249326
01-07-1966,4.470110658
01-08-1966,4.531235704
01-09-1966,4.088222437
01-10-1966,2.737099071
01-11-1966,2.043798063
01-12-1966,4.345280687
01-01-1967,5.989650019
01-02-1967,1.509943389
01-03-1967,0.053289197
01-04-1967,-0.901686825
01-05-1967,-0.259717952
01-06-1967,3.824814436
01-07-1967,4.492050366
01-08-1967,5.981652996
01-09-1967,1.065518175
01-10-1967,-0.509873457
01-11-1967,5.821549136
01-12-1967,8.821621467
01-01-1968,7.697702843
01-02-1968,9.012240174
01-03-1968,8.109596612
01-04-1968,5.548558439
01-05-1968,6.47581283
01-06-1968,4.751432537
01-07-1968,3.416159687
01-08-1968,0.510947076
01-09-1968,0.577780834
01-10-1968,0.2338017
01-11-1968,3.214219252
01-12-1968,5.279030805
01-01-1969,8.65553755
01-02-1969,6.706330541
01-03-1969,2.742299308
01-04-1969,-0.923111989
01-05-1969,-0.712392188
01-06-1969,2.888375986
01-07-1969,4.335368121
01-08-1969,3.217477255
01-09-1969,-0.808204957
01-10-1969,-3.294540153
01-11-1969,-4.471867962
01-12-1969,-0.362441074
01-01-1970,-0.614552867
01-02-1970,1.40105338
01-03-1970,-1.123032963
01-04-1970,-1.355403734
01-05-1970,2.132598708
01-06-1970,5.73609307
01-07-1970,7.434488316
01-08-1970,1.614544215
01-09-1970,-6.125377272
01-10-1970,-11.29398809
01-11-1970,-3.852935187
01-12-1970,13.44279764
01-01-1971,16.26190997
01-02-1971,10.8312669
01-03-1971,2.96448566
01-04-1971,-0.927696242
01-05-1971,0.45119058
01-06-1971,4.576945844
01-07-1971,4.037435689
01-08-1971,3.071251202
01-09-1971,1.618400927
01-10-1971,-1.798663921
01-11-1971,1.03655767
01-12-1971,5.420941711
01-01-1972,8.664158087
01-02-1972,8.386373127
01-03-1972,10.88539693
01-04-1972,10.44199837
01-05-1972,7.460367265
